filename,shot_type,split,video_path,is_error,error_group
cut_test_001.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_001.avi,0,GOOD
cut_test_002.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_002.avi,0,GOOD
cut_test_003.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_003.avi,0,GOOD
cut_test_004.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_004.avi,0,GOOD
cut_test_005.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_005.avi,0,GOOD
cut_test_006.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_006.avi,0,GOOD
cut_test_007.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_007.avi,0,GOOD
cut_test_008.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_008.avi,0,GOOD
cut_test_009.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_009.avi,0,GOOD
cut_test_010.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_010.avi,0,GOOD
cut_test_011.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_011.avi,0,GOOD
cut_test_012.mp4,cut,test,data\dataset_v7_clean\test\cut\cut_test_012.mp4,0,GOOD
cut_test_013.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_013.avi,0,GOOD
cut_test_014.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_014.avi,0,GOOD
cut_test_015.mp4,cut,test,data\dataset_v7_clean\test\cut\cut_test_015.mp4,0,GOOD
cut_test_016.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_016.avi,0,GOOD
cut_test_017.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_017.avi,0,GOOD
cut_test_018.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_018.avi,0,GOOD
cut_test_019.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_019.avi,0,GOOD
cut_test_020.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_020.avi,0,GOOD
cut_test_021.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_021.avi,0,GOOD
cut_test_022.mp4,cut,test,data\dataset_v7_clean\test\cut\cut_test_022.mp4,0,GOOD
cut_test_023.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_023.avi,0,GOOD
cut_test_024.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_024.avi,0,GOOD
cut_test_025.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_025.avi,0,GOOD
cut_test_026.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_026.avi,0,GOOD
cut_test_027.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_027.avi,0,GOOD
cut_test_028.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_028.avi,0,GOOD
cut_test_029.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_029.avi,0,GOOD
cut_test_030.mp4,cut,test,data\dataset_v7_clean\test\cut\cut_test_030.mp4,0,GOOD
cut_test_031.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_031.avi,0,GOOD
cut_test_032.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_032.avi,0,GOOD
cut_test_033.mp4,cut,test,data\dataset_v7_clean\test\cut\cut_test_033.mp4,0,GOOD
cut_test_034.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_034.avi,0,GOOD
cut_test_035.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_035.avi,0,GOOD
cut_test_036.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_036.avi,0,GOOD
cut_test_037.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_037.avi,0,GOOD
cut_test_038.mp4,cut,test,data\dataset_v7_clean\test\cut\cut_test_038.mp4,0,GOOD
cut_test_039.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_039.avi,0,GOOD
cut_test_040.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_040.avi,0,GOOD
cut_test_041.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_041.avi,0,GOOD
cut_test_042.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_042.avi,0,GOOD
cut_test_043.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_043.avi,0,GOOD
cut_test_044.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_044.avi,0,GOOD
cut_test_045.mp4,cut,test,data\dataset_v7_clean\test\cut\cut_test_045.mp4,0,GOOD
cut_test_046.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_046.avi,0,GOOD
cut_test_047.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_047.avi,0,GOOD
cut_test_048.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_048.avi,0,GOOD
cut_test_049.mp4,cut,test,data\dataset_v7_clean\test\cut\cut_test_049.mp4,0,GOOD
cut_test_050.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_050.avi,0,GOOD
cut_test_051.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_051.avi,0,GOOD
cut_test_052.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_052.avi,0,GOOD
cut_test_053.mp4,cut,test,data\dataset_v7_clean\test\cut\cut_test_053.mp4,0,GOOD
cut_test_054.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_054.avi,0,GOOD
cut_test_055.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_055.avi,0,GOOD
cut_test_056.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_056.avi,0,GOOD
cut_test_057.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_057.avi,0,GOOD
cut_test_058.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_058.avi,0,GOOD
cut_test_059.mp4,cut,test,data\dataset_v7_clean\test\cut\cut_test_059.mp4,0,GOOD
cut_test_060.avi,cut,test,data\dataset_v7_clean\test\cut\cut_test_060.avi,0,GOOD
cut_train_001.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_001.avi,0,GOOD
cut_train_002.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_002.avi,0,GOOD
cut_train_003.mp4,cut,train,data\dataset_v7_clean\train\cut\cut_train_003.mp4,0,GOOD
cut_train_004.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_004.avi,0,GOOD
cut_train_005.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_005.avi,0,GOOD
cut_train_006.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_006.avi,0,GOOD
cut_train_007.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_007.avi,0,GOOD
cut_train_008.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_008.avi,0,GOOD
cut_train_009.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_009.avi,0,GOOD
cut_train_010.mp4,cut,train,data\dataset_v7_clean\train\cut\cut_train_010.mp4,0,GOOD
cut_train_011.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_011.avi,0,GOOD
cut_train_012.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_012.avi,0,GOOD
cut_train_013.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_013.avi,0,GOOD
cut_train_014.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_014.avi,0,GOOD
cut_train_015.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_015.avi,0,GOOD
cut_train_016.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_016.avi,0,GOOD
cut_train_017.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_017.avi,0,GOOD
cut_train_018.mp4,cut,train,data\dataset_v7_clean\train\cut\cut_train_018.mp4,0,GOOD
cut_train_019.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_019.avi,0,GOOD
cut_train_020.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_020.avi,0,GOOD
cut_train_021.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_021.avi,0,GOOD
cut_train_022.mp4,cut,train,data\dataset_v7_clean\train\cut\cut_train_022.mp4,0,GOOD
cut_train_023.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_023.avi,0,GOOD
cut_train_024.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_024.avi,0,GOOD
cut_train_025.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_025.avi,0,GOOD
cut_train_026.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_026.avi,0,GOOD
cut_train_027.avi,cut,train,data\dataset_v7_clean\train\cut\cut_train_027.avi,0,GOOD
cut_train_028.mp4,cut,train,data\dataset_v7_clean\train\cut\cut_train_028.mp4,0,GOOD
